symbol_name,symbol_id,prefix,pdf_page,reference_number,match_count,match_status,matched_assets
SY(MAGVAR51),MAGVAR51,SY,176,167,1,matched_standard_source_table_asset,MAGVAR51
SY(MARCUL02),MARCUL02,SY,177,168,1,matched_standard_source_table_asset,MARCUL02
SY(MONUMT02),MONUMT02,SY,178,169,1,matched_standard_source_table_asset,MONUMT02
SY(MONUMT12),MONUMT12,SY,179,170,1,matched_standard_source_table_asset,MONUMT12
SY(MORFAC03),MORFAC03,SY,180,171,1,matched_standard_source_table_asset,MORFAC03
SY(MORFAC04),MORFAC04,SY,181,172,1,matched_standard_source_table_asset,MORFAC04
SY(MSTCON04),MSTCON04,SY,182,173,1,matched_standard_source_table_asset,MSTCON04
SY(MSTCON14),MSTCON14,SY,183,174,1,matched_standard_source_table_asset,MSTCON14
SY(NEWOBJ01),NEWOBJ01,SY,184,585,1,matched_standard_source_table_asset,NEWOBJ01
SY(NORTHAR1),NORTHAR1,SY,185,175,1,matched_standard_source_table_asset,NORTHAR1
SY(NOTBRD11),NOTBRD11,SY,186,176,1,matched_standard_source_table_asset,NOTBRD11
SY(OBSTRN01),OBSTRN01,SY,187,177,1,matched_standard_source_table_asset,OBSTRN01
SY(OBSTRN02),OBSTRN02,SY,188,178,1,matched_standard_source_table_asset,OBSTRN02
SY(OBSTRN03),OBSTRN03,SY,189,526,1,matched_standard_source_table_asset,OBSTRN03
SY(OBSTRN11),OBSTRN11,SY,190,179,1,matched_standard_source_table_asset,OBSTRN11
SY(OFSPLF01),OFSPLF01,SY,191,180,1,matched_standard_source_table_asset,OFSPLF01
SY(PILBOP02),PILBOP02,SY,192,187,1,matched_standard_source_table_asset,PILBOP02
SY(PILPNT02),PILPNT02,SY,193,188,1,matched_standard_source_table_asset,PILPNT02
SY(POSGEN01),POSGEN01,SY,194,193,1,matched_standard_source_table_asset,POSGEN01
SY(POSGEN03),POSGEN03,SY,195,194,1,matched_standard_source_table_asset,POSGEN03
SY(POSGEN04),POSGEN04,SY,196,195,1,matched_standard_source_table_asset,POSGEN04
SY(PRCARE12),PRCARE12,SY,197,197,1,matched_standard_source_table_asset,PRCARE12
SY(PRCARE51),PRCARE51,SY,198,198,1,matched_standard_source_table_asset,PRCARE51
SY(PRDINS02),PRDINS02,SY,199,199,1,matched_standard_source_table_asset,PRDINS02
SY(PRICKE03),PRICKE03,SY,200,200,1,matched_standard_source_table_asset,PRICKE03
SY(PRICKE04),PRICKE04,SY,201,201,1,matched_standard_source_table_asset,PRICKE04
SY(PSSARE01),PSSARE01,SY,202,519,1,matched_standard_source_table_asset,PSSARE01
SY(QUAPOS01),QUAPOS01,SY,203,202,1,matched_standard_source_table_asset,QUAPOS01
SY(QUARRY01),QUARRY01,SY,204,203,1,matched_standard_source_table_asset,QUARRY01
SY(QUESMRK1),QUESMRK1,SY,205,204,1,matched_standard_source_table_asset,QUESMRK1
SY(RACNSP01),RACNSP01,SY,206,205,1,matched_standard_source_table_asset,RACNSP01
SY(RADRFL03),RADRFL03,SY,207,206,1,matched_standard_source_table_asset,RADRFL03
SY(RASCAN01),RASCAN01,SY,208,207,1,matched_standard_source_table_asset,RASCAN01
SY(RASCAN11),RASCAN11,SY,209,208,1,matched_standard_source_table_asset,RASCAN11
SY(RCLDEF01),RCLDEF01,SY,210,209,1,matched_standard_source_table_asset,RCLDEF01
SY(RCTLPT52),RCTLPT52,SY,211,210,1,matched_standard_source_table_asset,RCTLPT52
SY(RDOCAL02),RDOCAL02,SY,212,211,1,matched_standard_source_table_asset,RDOCAL02
SY(RDOCAL03),RDOCAL03,SY,213,212,1,matched_standard_source_table_asset,RDOCAL03
SY(RDOSTA02),RDOSTA02,SY,214,213,1,matched_standard_source_table_asset,RDOSTA02
SY(RECDEF51),RECDEF51,SY,215,214,1,matched_standard_source_table_asset,RECDEF51
SY(RECTRC55),RECTRC55,SY,216,215,1,matched_standard_source_table_asset,RECTRC55
SY(RECTRC56),RECTRC56,SY,217,216,1,matched_standard_source_table_asset,RECTRC56
SY(RECTRC57),RECTRC57,SY,218,217,1,matched_standard_source_table_asset,RECTRC57
SY(RECTRC58),RECTRC58,SY,219,218,1,matched_standard_source_table_asset,RECTRC58
SY(RETRFL01),RETRFL01,SY,220,220,1,matched_standard_source_table_asset,RETRFL01
SY(RETRFL02),RETRFL02,SY,221,221,1,matched_standard_source_table_asset,RETRFL02
SY(RFNERY01),RFNERY01,SY,222,222,1,matched_standard_source_table_asset,RFNERY01
SY(RFNERY11),RFNERY11,SY,223,223,1,matched_standard_source_table_asset,RFNERY11
SY(ROLROL01),ROLROL01,SY,224,224,1,matched_standard_source_table_asset,ROLROL01
SY(RSCSTA02),RSCSTA02,SY,225,225,1,matched_standard_source_table_asset,RSCSTA02
SY(RSRDEF51),RSRDEF51,SY,226,226,0,not_in_standard_source_table,
SY(RTLDEF51),RTLDEF51,SY,227,227,1,matched_standard_source_table_asset,RTLDEF51
SY(RTPBCN02),RTPBCN02,SY,228,228,1,matched_standard_source_table_asset,RTPBCN02
SY(SAFCON00),SAFCON00,SY,229,528,0,not_in_standard_source_table,
